Local time,Open,High,Low,Close,Volume
24.04.2017 00:00:00.000,109.072,109.072,109.072,109.072,0
24.04.2017 00:10:00.000,109.072,109.072,109.072,109.072,0
24.04.2017 00:20:00.000,109.072,109.072,109.072,109.072,0
24.04.2017 00:30:00.000,109.072,109.072,109.072,109.072,0
24.04.2017 00:40:00.000,109.072,109.072,109.072,109.072,0
24.04.2017 00:50:00.000,109.072,109.072,109.072,109.072,0
24.04.2017 01:00:00.000,109.072,109.072,109.072,109.072,0
24.04.2017 01:10:00.000,109.072,109.072,109.072,109.072,0
24.04.2017 01:20:00.000,109.072,109.072,109.072,109.072,0
24.04.2017 01:30:00.000,109.072,109.072,109.072,109.072,0
24.04.2017 01:40:00.000,109.072,109.072,109.072,109.072,0
24.04.2017 01:50:00.000,109.072,109.072,109.072,109.072,0
24.04.2017 02:00:00.000,109.072,109.072,109.072,109.072,0
24.04.2017 02:10:00.000,109.072,109.072,109.072,109.072,0
24.04.2017 02:20:00.000,109.072,109.072,109.072,109.072,0
24.04.2017 02:30:00.000,109.072,109.072,109.072,109.072,0
24.04.2017 02:40:00.000,109.072,109.072,109.072,109.072,0
24.04.2017 02:50:00.000,109.072,109.072,109.072,109.072,0
24.04.2017 03:00:00.000,109.072,109.072,109.072,109.072,0
24.04.2017 03:10:00.000,109.072,109.072,109.072,109.072,0
24.04.2017 03:20:00.000,109.072,109.072,109.072,109.072,0
24.04.2017 03:30:00.000,109.072,109.072,109.072,109.072,0
24.04.2017 03:40:00.000,109.072,109.072,109.072,109.072,0
24.04.2017 03:50:00.000,109.072,109.072,109.072,109.072,0
24.04.2017 04:00:00.000,109.072,109.072,109.072,109.072,0
24.04.2017 04:10:00.000,109.072,109.072,109.072,109.072,0
24.04.2017 04:20:00.000,109.072,109.072,109.072,109.072,0
24.04.2017 04:30:00.000,109.072,109.072,109.072,109.072,0
24.04.2017 04:40:00.000,109.072,109.072,109.072,109.072,0
24.04.2017 04:50:00.000,109.072,109.072,109.072,109.072,0
24.04.2017 05:00:00.000,109.072,109.072,109.072,109.072,0
24.04.2017 05:10:00.000,109.072,109.072,109.072,109.072,0
24.04.2017 05:20:00.000,109.072,109.072,109.072,109.072,0
24.04.2017 05:30:00.000,109.072,109.072,109.072,109.072,0
24.04.2017 05:40:00.000,109.072,109.072,109.072,109.072,0
24.04.2017 05:50:00.000,109.072,109.072,109.072,109.072,0
24.04.2017 06:00:00.000,110.521,110.531,110.248,110.257,761.29
24.04.2017 06:10:00.000,110.257,110.427,110.217,110.294,1898.44
24.04.2017 06:20:00.000,110.298,110.345,110.177,110.177,977.96
24.04.2017 06:30:00.000,110.177,110.261,110.151,110.257,450.51000000000005
24.04.2017 06:40:00.000,110.254,110.455,110.228,110.409,564.87
24.04.2017 06:50:00.000,110.409,110.467,110.230,110.263,1236.4899999999998
24.04.2017 07:00:00.000,110.262,110.342,110.136,110.243,2515.9800000000005
24.04.2017 07:10:00.000,110.243,110.257,110.150,110.218,2216.69
24.04.2017 07:20:00.000,110.220,110.223,110.047,110.050,1408.3899999999999
24.04.2017 07:30:00.000,110.050,110.119,110.019,110.083,1537.62
24.04.2017 07:40:00.000,110.083,110.124,110.018,110.040,1132.29
24.04.2017 07:50:00.000,110.039,110.066,109.983,110.043,1378.78
24.04.2017 08:00:00.000,110.041,110.073,109.999,110.072,1079.83
24.04.2017 08:10:00.000,110.071,110.123,110.065,110.089,1113.18
24.04.2017 08:20:00.000,110.089,110.105,110.057,110.078,986.1400000000001
24.04.2017 08:30:00.000,110.079,110.130,110.047,110.067,1278.65
24.04.2017 08:40:00.000,110.066,110.105,109.948,109.985,1753.86
24.04.2017 08:50:00.000,109.985,110.042,109.936,110.025,1611.22
24.04.2017 09:00:00.000,110.022,110.040,109.940,109.975,2127.09
24.04.2017 09:10:00.000,109.974,110.047,109.921,109.952,2273.6
24.04.2017 09:20:00.000,109.955,109.960,109.855,109.956,2407.22
24.04.2017 09:30:00.000,109.955,109.981,109.899,109.967,1864.0400000000002
